activity_id,name,category,sector,source,unit_type
waste-type_construction_and_demolition_waste_rigid_pvc-disposal_method_recycling,Construction and demolition waste: Rigid PVC - Recycling,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_wood_grade_b-disposal_method_average_end_of_life,Construction and demolition waste: Wood Grade B - Average end of life,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_wood_grade_b-disposal_method_end_of_life_without_recycling,Construction and demolition waste: Wood Grade B - End of life without recycling,Construction Waste,Waste,ADEME,Weight
waste-type_copper_wire-disposal_method_combusted,Copper Wire - Combusted,Metal Waste,Waste,EPA,Weight
waste-type_copper_wire-disposal_method_landfilled,Copper Wire - Landfilled,Metal Waste,Waste,EPA,Weight
waste-type_copper_wire-disposal_method_recycled,Copper Wire - Recycled,Metal Waste,Waste,EPA,Weight
waste-type_corrugated_containers-disposal_method_combusted,Corrugated Containers - Combusted,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_corrugated_containers-disposal_method_landfilled,Corrugated Containers - Landfilled,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_corrugated_containers-disposal_method_recycled,Corrugated Containers - Recycled,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_crt_displays-disposal_method_combusted,CRT Displays - Combusted,Electrical Waste,Waste,EPA,Weight
waste-type_crt_displays-disposal_method_landfilled,CRT Displays - Landfilled,Electrical Waste,Waste,EPA,Weight
waste-type_dairy_products-disposal_method_anaerobically_digested_dry_digestate_with_curing,Dairy Products - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_dairy_products-disposal_method_anaerobically_digested_wet_digestate_with_curing,Dairy Products - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_dairy_products-disposal_method_combusted,Dairy Products - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_dairy_products-disposal_method_composted,Dairy Products - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_dairy_products-disposal_method_landfilled,Dairy Products - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_desktop_cpus-disposal_method_combusted,Desktop CPUs - Combusted,Electrical Waste,Waste,EPA,Weight
waste-type_desktop_cpus-disposal_method_landfilled,Desktop CPUs - Landfilled,Electrical Waste,Waste,EPA,Weight
waste-type_desktop_cpus-disposal_method_recycled,Desktop CPUs - Recycled,Electrical Waste,Waste,EPA,Weight
waste-type_dimensional_lumber-disposal_method_combusted,Dimensional Lumber - Combusted,Construction Waste,Waste,EPA,Weight
waste-type_dimensional_lumber-disposal_method_landfilled,Dimensional Lumber - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_dimensional_lumber-disposal_method_recycled,Dimensional Lumber - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_drywall-disposal_method_landfilled,Drywall - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_electronic_peripherals-disposal_method_combusted,Electronic Peripherals - Combusted,Electrical Waste,Waste,EPA,Weight
waste-type_electronic_peripherals-disposal_method_landfilled,Electronic Peripherals - Landfilled,Electrical Waste,Waste,EPA,Weight
waste-type_electronic_peripherals-disposal_method_recycled,Electronic Peripherals - Recycled,Electrical Waste,Waste,EPA,Weight
waste-type_fiberglass_insulation-disposal_method_landfilled,Fiberglass Insulation - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_fiberglass_insulation-disposal_method_recycled,Fiberglass Insulation - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_flat_panel_displays-disposal_method_combusted,Flat-panel Displays - Combusted,Electrical Waste,Waste,EPA,Weight
waste-type_flat_panel_displays-disposal_method_landfilled,Flat-panel Displays - Landfilled,Electrical Waste,Waste,EPA,Weight
waste-type_flat_panel_displays-disposal_method_recycled,Flat-panel Displays - Recycled,Electrical Waste,Waste,EPA,Weight
waste-type_flexible_pe-disposal_method_packaging,Flexible pe - Packaging,Plastic Waste,Waste,ADEME,Weight
waste-type_flexible_pe-disposal_method_recycling_granulates,Flexible pe - Recycling granulates,Plastic Waste,Waste,ADEME,Weight
waste-type_flexible_pe_from_agriculture-disposal_method_recycling_granulates,Flexible pe / from agriculture - Recycling granulates,Plastic Waste,Waste,ADEME,Weight
waste-type_fly_ash-disposal_method_landfilled,Fly Ash - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_fly_ash-disposal_method_recycled,Fly Ash - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_food-disposal_method_landfill_with_gas_recovery,Food - waste to landfill with gas recovery,Food and Organic Waste,Waste,MfE,Weight
waste-type_food-disposal_method_landfill_without_gas_recovery,Food - waste to landfill without gas recovery,Food and Organic Waste,Waste,MfE,Weight
waste-type_food_waste-disposal_method_combusted,Food Waste - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste-disposal_method_composted,Food Waste - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste-disposal_method_incineration,Food waste - incineration,Food and Organic Waste,Waste,SEFR,Weight
waste-type_food_waste-disposal_method_landfilled,Food Waste - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_meat_only-disposal_method_anaerobically_digested_dry_digestate_with_curing,Food Waste (meat only) - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_meat_only-disposal_method_anaerobically_digested_wet_digestate_with_curing,Food Waste (meat only) - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_meat_only-disposal_method_combusted,Food Waste (meat only) - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_meat_only-disposal_method_composted,Food Waste (meat only) - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_meat_only-disposal_method_landfilled,Food Waste (meat only) - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_non_meat-disposal_method_anaerobically_digested_dry_digestate_with_curing,Food Waste (non-meat) - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_non_meat-disposal_method_anaerobically_digested_wet_digestate_with_curing,Food Waste (non-meat) - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_non_meat-disposal_method_combusted,Food Waste (non-meat) - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_non_meat-disposal_method_composted,Food Waste (non-meat) - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_food_waste_non_meat-disposal_method_landfilled,Food Waste (non-meat) - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_fruits_and_vegetables-disposal_method_anaerobically_digested_dry_digestate_with_curing,Fruits and Vegetables - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
