activity_id,name,category,sector,source,unit_type
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel_hev-engine_size_na-vehicle_age_na-vehicle_weight_na,LCV - Diesel hybrid - default factor,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_na,Diesel hybrid LCV (average) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_fcev_electrolysis-engine_size_na-vehicle_age_na-vehicle_weight_na,Hydrogen LCV (electrolysis grid mix),Vehicles,Transport,ADEME,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_fcev_electrolysis-engine_size_na-vehicle_age_na-vehicle_weight_na,Hydrogen LCV (electrolysis),Vehicles,Transport,ADEME,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_fcev_electrolysis_renewable-engine_size_na-vehicle_age_na-vehicle_weight_na,Hydrogen LCV (electrolysis renewable energy),Vehicles,Transport,ADEME,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_fcev_smr_biomethane-engine_size_na-vehicle_age_na-vehicle_weight_na,Hydrogen LCV (SMR biomethane),Vehicles,Transport,ADEME,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_fcev_smr_natural_gas-engine_size_na-vehicle_age_na-vehicle_weight_na,Hydrogen LCV (SMR natural gas),Vehicles,Transport,ADEME,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,Petrol LCV (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,Petrol LCV (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,Petrol LCV (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gt_3000cc-vehicle_age_post_2015-vehicle_weight_na,Petrol LCV (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_gte_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_lt_1350cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol (<1350cc) post-2015,Vehicles,Transport,MfE,Distance
